  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.053 e 6     Ncrit =  10.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0000   0.02038   0.01089  -0.0000   1.0000   1.0000
   0.500  -0.0248   0.02060   0.01107   0.0094   1.0000   1.0000
   1.000  -0.0315   0.02130   0.01169   0.0157   1.0000   1.0000
   1.500  -0.0220   0.02247   0.01281   0.0189   1.0000   1.0000
   2.000   0.1249   0.02480   0.01538  -0.0023   0.9514   1.0000
   2.500   0.3129   0.02533   0.01646  -0.0265   0.8823   1.0000
   3.000   0.4552   0.02373   0.01532  -0.0367   0.8087   1.0000
   3.500   0.5082   0.02316   0.01481  -0.0313   0.7326   1.0000
   4.000   0.5504   0.02294   0.01445  -0.0241   0.6546   1.0000
   4.500   0.5879   0.02336   0.01459  -0.0172   0.5689   1.0000
   5.000   0.6246   0.02426   0.01509  -0.0111   0.4779   1.0000
   5.500   0.6619   0.02577   0.01602  -0.0058   0.3905   1.0000
   6.000   0.6977   0.02808   0.01809  -0.0013   0.3162   1.0000
   6.500   0.7367   0.03088   0.02068   0.0023   0.2632   1.0000
   7.000   0.7749   0.03450   0.02434   0.0055   0.2270   1.0000
   7.500   0.8075   0.03895   0.02929   0.0089   0.2025   1.0000
   8.000   0.8333   0.04447   0.03537   0.0124   0.1866   1.0000
   8.500   0.8457   0.05184   0.04340   0.0158   0.1786   1.0000
   9.000   0.8263   0.06201   0.05435   0.0187   0.1781   1.0000
   9.500   0.8029   0.07364   0.06633   0.0190   0.1829   1.0000
  10.000   0.4424   0.11250   0.10531  -0.0081   0.3748   1.0000
  10.500   0.4361   0.11896   0.11174  -0.0078   0.3562   1.0000
  11.000   0.4272   0.12405   0.11681  -0.0073   0.3339   1.0000
  11.500   0.4331   0.13012   0.12289  -0.0074   0.3150   1.0000
  12.000   0.4479   0.13677   0.12957  -0.0073   0.2951   1.0000
  12.500   0.4502   0.14208   0.13489  -0.0077   0.2794   1.0000
  13.000   0.4565   0.14746   0.14030  -0.0080   0.2628   1.0000
  13.500   0.4490   0.15036   0.14321  -0.0085   0.2493   1.0000
  14.000   0.4489   0.15435   0.14721  -0.0093   0.2371   1.0000
  14.500   0.4556   0.15926   0.15214  -0.0102   0.2246   1.0000
  15.000   0.4806   0.16828   0.16121  -0.0107   0.2126   1.0000
