  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.053 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0000   0.02038   0.01089  -0.0000   1.0000   1.0000
   0.500  -0.0248   0.02060   0.01107   0.0094   1.0000   1.0000
   1.000  -0.0315   0.02130   0.01169   0.0157   1.0000   1.0000
   1.500   0.0683   0.02288   0.01336   0.0032   0.9716   1.0000
   2.000   0.2277   0.02371   0.01454  -0.0175   0.9156   1.0000
   2.500   0.3807   0.02290   0.01418  -0.0330   0.8533   1.0000
   3.000   0.4559   0.02210   0.01356  -0.0324   0.7837   1.0000
   3.500   0.5031   0.02175   0.01317  -0.0268   0.7115   1.0000
   4.000   0.5429   0.02186   0.01313  -0.0206   0.6343   1.0000
   4.500   0.5812   0.02236   0.01333  -0.0147   0.5515   1.0000
   5.000   0.6181   0.02329   0.01388  -0.0093   0.4636   1.0000
   5.500   0.6543   0.02472   0.01484  -0.0044   0.3774   1.0000
   6.000   0.6907   0.02677   0.01651  -0.0003   0.3034   1.0000
   6.500   0.7293   0.02932   0.01884   0.0031   0.2488   1.0000
   7.000   0.7693   0.03244   0.02186   0.0060   0.2111   1.0000
   7.500   0.8077   0.03604   0.02568   0.0088   0.1843   1.0000
   8.000   0.8429   0.04059   0.03051   0.0116   0.1661   1.0000
   8.500   0.8694   0.04587   0.03642   0.0149   0.1536   1.0000
   9.000   0.8714   0.05365   0.04514   0.0190   0.1479   1.0000
   9.500   0.8481   0.06343   0.05569   0.0221   0.1470   1.0000
  10.000   0.8023   0.07484   0.06746   0.0229   0.1497   1.0000
  10.500   0.7727   0.08664   0.07932   0.0207   0.1519   1.0000
  11.000   0.6014   0.13090   0.12332  -0.0199   0.2947   1.0000
  11.500   0.6011   0.13790   0.13028  -0.0215   0.2800   1.0000
  12.000   0.6127   0.14531   0.13768  -0.0224   0.2631   1.0000
  12.500   0.6151   0.15202   0.14436  -0.0243   0.2489   1.0000
  13.000   0.6205   0.15886   0.15118  -0.0263   0.2357   1.0000
  13.500   0.6306   0.16581   0.15812  -0.0281   0.2222   1.0000
  14.000   0.6538   0.17479   0.16711  -0.0292   0.2118   1.0000
  14.500   0.6863   0.18543   0.17783  -0.0296   0.1975   1.0000
  15.000   0.6684   0.18631   0.17861  -0.0348   0.1868   1.0000
